phase,writer,component,value
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Bx,0.0038248241156170577
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Bx,0.0038248241156170577
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Bx,0.0038248241156170577
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Bx,0.0038248241156170577
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Bx,0.0038248241156170577
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Bx,0.0038248241156170577
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_By,-3.736687760598643e-07
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_By,-3.7366877605986447e-07
t3_00_RESTRICT,RESTRICT,z4c_By,-3.7366877605986447e-07
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_By,-3.7366877605986447e-07
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_By,-3.7366877605986447e-07
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_By,-3.7366877605986447e-07
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_By,-3.7366877605986447e-07
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_By,-3.7366877605986447e-07
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_By,-3.7366877605986447e-07
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_By,-3.7366877605986447e-07
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_By,-3.7366877605986447e-07
T0_CANONICAL,ACCEPTED_OLD_STATE,z4c_Bz,0.0
t2_00_REFINE_OR_DEREFINE_TRANSFER,REFINE_OR_DEREFINE_TRANSFER,z4c_Bz,0.0
t3_00_RESTRICT,RESTRICT,z4c_Bz,0.0
t3_01_MPI_RECEIVE,MPI_RECEIVE,z4c_Bz,0.0
t3_02_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_1,z4c_Bz,0.0
t3_03_SAME_LEVEL_COARSE_REFRESH,SAME_LEVEL_COARSE_REFRESH,z4c_Bz,0.0
t3_04_COARSE_TO_FINE_PROLONGATION,COARSE_TO_FINE_PROLONGATION,z4c_Bz,0.0
t3_05_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_2,z4c_Bz,0.0
t3_06_PHYSICAL_OR_AXIS_BC,PHYSICAL_OR_AXIS_BC_AXIS,z4c_Bz,0.0
t4_00_ALGEBRAIC_PROJECTION,ALGEBRAIC_PROJECTION,z4c_Bz,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,ADM_OR_CONSTRAINT_RECOMPUTATION,z4c_Bz,0.0
T0_CONSTRAINT_INTERPOLATED,ACCEPTED_OLD_STATE,con_C,0.291731675932809
t3_06_PHYSICAL_OR_AXIS_BC,t3_06_PHYSICAL_OR_AXIS_BC,con_C,147.74753500752715
t4_00_ALGEBRAIC_PROJECTION,t4_00_ALGEBRAIC_PROJECTION,con_C,150.03942051117215
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,con_C,150.03942051117215
T0_CONSTRAINT_INTERPOLATED,ACCEPTED_OLD_STATE,con_H,0.7146989857023696
t3_06_PHYSICAL_OR_AXIS_BC,t3_06_PHYSICAL_OR_AXIS_BC,con_H,8.989419179151461
t4_00_ALGEBRAIC_PROJECTION,t4_00_ALGEBRAIC_PROJECTION,con_H,9.012451666018276
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,con_H,9.012451666018276
T0_CONSTRAINT_INTERPOLATED,ACCEPTED_OLD_STATE,con_M,-0.0013548789657025922
t3_06_PHYSICAL_OR_AXIS_BC,t3_06_PHYSICAL_OR_AXIS_BC,con_M,66.81013744289616
t4_00_ALGEBRAIC_PROJECTION,t4_00_ALGEBRAIC_PROJECTION,con_M,68.6873525209854
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,con_M,68.6873525209854
T0_CONSTRAINT_INTERPOLATED,ACCEPTED_OLD_STATE,con_Z,0.007578135014386269
t3_06_PHYSICAL_OR_AXIS_BC,t3_06_PHYSICAL_OR_AXIS_BC,con_Z,0.008176320151468842
t4_00_ALGEBRAIC_PROJECTION,t4_00_ALGEBRAIC_PROJECTION,con_Z,0.008186963085550733
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,con_Z,0.008186963085550733
T0_CONSTRAINT_INTERPOLATED,ACCEPTED_OLD_STATE,con_Mx,-0.1496785700403093
t3_06_PHYSICAL_OR_AXIS_BC,t3_06_PHYSICAL_OR_AXIS_BC,con_Mx,-8.877730340940289
t4_00_ALGEBRAIC_PROJECTION,t4_00_ALGEBRAIC_PROJECTION,con_Mx,-8.982991956467398
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,con_Mx,-8.982991956467398
T0_CONSTRAINT_INTERPOLATED,ACCEPTED_OLD_STATE,con_My,-0.30076461779729474
t3_06_PHYSICAL_OR_AXIS_BC,t3_06_PHYSICAL_OR_AXIS_BC,con_My,6.790110054704206
t4_00_ALGEBRAIC_PROJECTION,t4_00_ALGEBRAIC_PROJECTION,con_My,6.9081083988513905
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,con_My,6.9081083988513905
T0_CONSTRAINT_INTERPOLATED,ACCEPTED_OLD_STATE,con_Mz,0.0
t3_06_PHYSICAL_OR_AXIS_BC,t3_06_PHYSICAL_OR_AXIS_BC,con_Mz,0.0
t4_00_ALGEBRAIC_PROJECTION,t4_00_ALGEBRAIC_PROJECTION,con_Mz,0.0
t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,t5_00_ADM_OR_CONSTRAINT_RECOMPUTATION,con_Mz,0.0
